0.2255, 0.7000, 0.3321, 0.0000, -1.9199, 0.0000
0.2247, 0.7197, 0.3321, 0.0838, -1.9185, 0.0587
0.2221, 0.7392, 0.3321, 0.1675, -1.9143, 0.1173
0.2178, 0.7584, 0.3321, 0.2511, -1.9073, 0.1758
0.2119, 0.7771, 0.3321, 0.3346, -1.8976, 0.2343
0.2044, 0.7953, 0.3321, 0.4179, -1.8851, 0.2926
0.1953, 0.8128, 0.3321, 0.5010, -1.8697, 0.3508
0.1847, 0.8294, 0.3321, 0.5838, -1.8515, 0.4088
0.1728, 0.8450, 0.3321, 0.6663, -1.8306, 0.4665
0.1595, 0.8595, 0.3321, 0.7484, -1.8067, 0.5240
0.1450, 0.8728, 0.3321, 0.8301, -1.7801, 0.5812
0.1294, 0.8847, 0.3321, 0.9113, -1.7505, 0.6381
0.1128, 0.8953, 0.3321, -1.9732, 3.4177, -1.3816
0.0953, 0.9044, 0.3321, -2.0877, 3.2771, -1.4618
0.0771, 0.9119, 0.3321, -2.1928, 3.1316, -1.5354
0.0584, 0.9178, 0.3321, -2.2884, 2.9824, -1.6024
0.0392, 0.9221, 0.3321, -2.3748, 2.8301, -1.6628
0.0197, 0.9247, 0.3321, -2.4519, 2.6758, -1.7168
0.0000, 0.9255, 0.3321, -2.5201, 2.5201, -1.7646
-0.0197, 0.9247, 0.3321, 1.5368, -1.4082, 1.0761
-0.0392, 0.9221, 0.3321, 1.6110, -1.3518, 1.1280
-0.0584, 0.9178, 0.3321, 1.6840, -1.2922, 1.1792
-0.0771, 0.9119, 0.3321, 1.7559, -1.2295, 1.2295
-0.0953, 0.9044, 0.3321, 1.8264, -1.1636, 1.2789
-0.1128, 0.8953, 0.3321, 1.8956, -1.0944, 1.3273
-0.1294, 0.8847, 0.3321, 1.9633, -1.0220, 1.3747
-0.1450, 0.8728, 0.3321, 2.0293, -0.9463, 1.4209
-0.1595, 0.8595, 0.3321, 2.0936, -0.8672, 1.4660
-0.1728, 0.8450, 0.3321, 2.1562, -0.7848, 1.5098
-0.1847, 0.8294, 0.3321, 2.2167, -0.6989, 1.5522
-0.1953, 0.8128, 0.3321, 2.2752, -0.6096, 1.5931
-0.2044, 0.7953, 0.3321, 2.3314, -0.5169, 1.6325
-0.2119, 0.7771, 0.3321, 2.3852, -0.4206, 1.6702
-0.2178, 0.7584, 0.3321, 2.4365, -0.3208, 1.7061
-0.2221, 0.7392, 0.3321, 2.4851, -0.2174, 1.7401
-0.2247, 0.7197, 0.3321, 2.5308, -0.1105, 1.7721
-0.2255, 0.7000, 0.3321, 2.5734, 0.0000, 1.8019
-0.2247, 0.6803, 0.3321, 2.6128, 0.1141, 1.8295
-0.2221, 0.6608, 0.3321, 2.6486, 0.2317, 1.8546
-0.2178, 0.6416, 0.3321, 2.6807, 0.3529, 1.8770
-0.2119, 0.6229, 0.3321, 2.7088, 0.4776, 1.8967
-0.2044, 0.6047, 0.3321, 2.7327, 0.6058, 1.9134
-0.1953, 0.5872, 0.3321, 2.7520, 0.7374, 1.9270
-0.1847, 0.5706, 0.3321, 2.7666, 0.8723, 1.9372
-0.1728, 0.5550, 0.3321, 2.7762, 1.0104, 1.9439
-0.1595, 0.5405, 0.3321, 2.7803, 1.1516, 1.9468
-0.1450, 0.5272, 0.3321, 2.7788, 1.2958, 1.9457
-0.1294, 0.5153, 0.3321, 2.7712, 1.4426, 1.9404
-0.1128, 0.5047, 0.3321, 2.7572, 1.5919, 1.9306
