0.1410, 0.6000, 0.0513, 0.0000, -1.9199, 0.0000
0.1221, 0.6705, 0.0513, 0.5010, -1.8697, 0.3508
0.0705, 0.7221, 0.0513, -1.9732, 3.4177, -1.3816
0.0000, 0.7410, 0.0513, -2.5201, 2.5201, -1.7646
-0.0705, 0.7221, 0.0513, 1.8956, -1.0944, 1.3273
-0.1221, 0.6705, 0.0513, 2.2752, -0.6096, 1.5931
-0.1410, 0.6000, 0.0513, 2.5734, 0.0000, 1.8019
-0.1221, 0.5295, 0.0513, 2.7520, 0.7374, 1.9270
-0.0705, 0.4779, 0.0513, 2.7572, 1.5919, 1.9306
-0.0000, 0.4590, 0.0513, 2.5201, 2.5201, 1.7646
0.0705, 0.4779, 0.0513, 1.9732, 3.4177, 1.3816
0.1221, 0.5295, 0.0513, -0.5010, -1.8697, -0.3508
0.1061, 0.6000, 0.1061, 0.0000, 3.9270, -0.0000
0.0919, 0.6530, 0.1061, -1.0033, 3.7445, -0.4156
0.0530, 0.6919, 0.1061, -1.8689, 3.2371, -0.7741
0.0000, 0.7061, 0.1061, -2.5038, 2.5038, -1.0371
-0.0530, 0.6919, 0.1061, 2.2470, -1.2973, 0.9308
-0.0919, 0.6530, 0.1061, 2.6395, -0.7072, 1.0933
-0.1061, 0.6000, 0.1061, 2.9025, 0.0000, 1.2022
-0.0919, 0.5470, 0.1061, 2.9953, 0.8026, 1.2407
-0.0530, 0.5081, 0.1061, 2.8748, 1.6598, 1.1908
-0.0000, 0.4939, 0.1061, 2.5038, 2.5038, 1.0371
0.0530, 0.5081, 0.1061, 1.8689, 3.2371, 0.7741
0.0919, 0.5470, 0.1061, 1.0033, 3.7445, 0.4156
0.0513, 0.6000, 0.1410, 0.0000, 3.4907, -0.0000
0.0363, 0.6363, 0.1410, -1.3225, 3.1929, -0.2332
0.0000, 0.6513, 0.1410, -2.3771, 2.3771, -0.4192
-0.0363, 0.6363, 0.1410, 2.7434, -1.1364, 0.4837
-0.0513, 0.6000, 0.1410, 3.0939, 0.0000, 0.5455
-0.0363, 0.5637, 0.1410, 2.9860, 1.2368, 0.5265
-0.0000, 0.5487, 0.1410, 2.3771, 2.3771, 0.4192
0.0363, 0.5637, 0.1410, 1.3225, 3.1929, 0.2332
0.0000, 0.6000, 0.1500, 3.1416, 0.0000, -0.0000
